name,cpg,brandCode,category,topBrand,categoryCode,_id,barcode,cpg_ref,cpg_id
Campbell's Chunky Maxx,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",CAMPBELLS CHUNKY MAXX,Canned Goods & Soups,False,,5ab153fee4b0915382df761e,511111704379,Cogs,5a734034e4b0d58f376be874
FOOD NETWORK KITCHEN INSPIRATIONS,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",FOOD NETWORK KITCHEN INSPIRATIONS,Condiments & Sauces,False,,5aa1b5b9e4b05a92fc9b1631,511111004288,Cogs,559c2234e4b06aca36af13c6
test brand @1597935986390,"{'$ref': 'Cogs', '$id': {'$oid': '5f3e9172be37ce5a0e01b952'}}",TEST BRANDCODE @1597935986390,Baking,,BAKING,5f3e9172be37ce5a0e01b954,511111215547,Cogs,5f3e9172be37ce5a0e01b952
test brand @1598633693744,"{'$ref': 'Cogs', '$id': {'$oid': '5f4936ddbe37ce52f8314fda'}}",TEST BRANDCODE @1598633693744,Baking,,BAKING,5f4936ddbe37ce52f8314fdc,511111015970,Cogs,5f4936ddbe37ce52f8314fda
Victoria,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f7a7e4b03c9a25efd134'}}",,,,,57c0829ce4b0718ff5fcb03a,511111002437,Cpgs,5332f7a7e4b03c9a25efd134
SABRITAS,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",SABRITAS,Snacks,,,5a4d244ae4b0bcb2c74ea77f,511111500506,Cogs,5332f5fbe4b03c9a25efd0ba
Gevalia,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",GEVALIA KAFFE,Beverages,False,,57ebbfa1e4b0ac389136a330,511111702177,Cogs,559c2234e4b06aca36af13c6
test brand @1598290603501,"{'$ref': 'Cogs', '$id': {'$oid': '5f43faabbe37ce3ef3fd3714'}}",TEST BRANDCODE @1598290603501,Baking,,BAKING,5f43faabbe37ce3ef3fd3715,511111115717,Cogs,5f43faabbe37ce3ef3fd3714
"O, That's Good!","{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",O THAT'S GOOD,Dairy,False,,59d550f4e4b090070b009534,511111600633,Cogs,559c2234e4b06aca36af13c6
Chester's,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",CHESTER'S,Snacks,True,,585a9645e4b03e62d1ce0e79,511111801757,Cogs,5332f5fbe4b03c9a25efd0ba
Miss Vickies,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",MISS VICKIE'S,Snacks,,,585a968ee4b03e62d1ce0e82,511111101666,Cogs,5332f5fbe4b03c9a25efd0ba
